State,1880 North Lat,1880 West Long,1890 North Lat,1890 West Long,1900 North Lat,1900 West Long,1910 North Lat,1910 West Long,1920 North Lat,1920 West Long,1930 North Lat,1930 West Long,1940 North Lat,1940 West Long,1950 North Lat,1950 West Long,1960 North Lat,1960 West Long,1970 North Lat,1970 West Long,1980 North Lat,1980 West Long,1990 North Lat,1990 West Long,2000 North Lat,2000 West Long,2010 North Lat,2010 West Long,
Georgia,33 02 04,83 42 00,33 00 00,83 40 17,32 56 38,83 38 24,32 54 25,83 37 08,32 54 17,83 36 32,32 56 11,83 39 13,32 58 31,83 41 23,33 00 23,83 42 46,33 03 42,83 45 28,33 08 52,83 48 13,33 11 12,83 48 36,33 15 35,83 50 00,33 19 56,83 52 08,33 22 37,83 52 58,
Hawaii,,,,,,,,,,,21 04 09,157 26 00,21 07 19,157 30 10,,,21 12 50,157 37 03,21 13 38,157 39 20,21 12 04,157 36 45,21 10 34,157 34 14,21 08 48,157 31 28,21 06 55,157 29 04,
Idaho,43 59 34,114 24 04,44 12 41,114 27 33,44 36 14,114 37 19,44 30 50,114 47 38,44 14 12,114 35 17,44 16 46,114 38 24,44 15 27,114 42 13,44 11 57,114 46 01,44 10 33,114 49 35,44 12 00,114 49 57,44 12 26,114 56 09,44 12 15,114 58 14,44 14 33,115 07 60,44 13 07,115 10 43,
Illinois,40 26 47,88 57 44,40 39 14,88 44 34,40 46 48,88 37 12,40 51 29,88 33 18,40 56 45 ,88 29 01,41 02 04,88 31 13,41 01 33,88 31 38,41 06 37,88 23 35,41 10 52,88 22 57,41 13 03,88 23 12,41 12 27,88 24 25,41 14 03,88 23 46,41 16 42,88 22 49,41 17 12,88 23 25,
Indiana,39 51 33,86 13 26,39 52 53,86 14 16,39 54 36,86 14 03,39 56 49 ,86 15 47,40 00 14,86 17 16,40 04 53,86 18 42,40 05 06,86 18 52,40 07 17,86 18 47,40 11 50,86 18 55,40 11 48,86 17 30,40 10 33,86 17 01,40 10 06,86 16 15,40 09 50,86 15 41,40 08 57,86 15 34,
Iowa,41 51 40,92 56 53,41 56 02,92 58 43,41 55 45,93 15 11,41 57 43,93 15 18,41 58 45,93 17 43,41 59 22,93 18 21,42 00 08,93 16 40,41 59 46,93 12 44,41 59 33,93 07 58,41 59 46,93 05 14,41 59 10,93 03 30,41 58 18,93 03 16,41 57 37,93 02 57,41 56 46,93 02 12,
Kansas,38 36 11,96 41 07,38 33 01,97 08 00,38 32 25,96 43 21,38 29 31,96 49 41,38 27 33,96 50 09,38 26 50,96 54 06,38 26 51,96 51 08,38 26 35,96 51 32,38 26 02,96 39 17,38 27 39,96 39 46,38 27 16,96 38 17,38 27 29,96 34 60,38 27 15,96 32 10,38 27 54,96 27 46,
Kentucky,37 42 40,85 26 30,37 42 46,85 21 52,37 42 15,85 24 40,37 42 29,85 21 29,37 42 21,85 15 24,37 41 41,85 08 15,37 40 44,85 05 52,37 45 14,85 06 15,37 47 16,85 13 32,37 48 54,85 16 57,37 47 31,85 13 22,37 47 51,85 14 21,37 48 29,85 14 31,37 49 28,85 14 54,
Louisiana,30 49 29,91 21 08,30 50 40,91 29 24,30 48 56 ,91 31 46,30 48 47,91 33 50,30 51 28,91 36 40,30 55 40,91 33 50,30 55 13,91 34 38,30 48 23,91 34 05,30 46 43,91 31 20,30 43 44,91 28 41,30 43 04,91 27 56,30 42 33,91 27 53,30 41 57,91 27 26,30 43 22,91 30 32,
Maine,44 55 10,69 32 46,44 57 03,69 32 36,44 57 52,69 33 05,44 47 02,69 29 49,44 46 44,69 31 02,44 42 17,69 34 23,44 41 21,69 35 12,44 46 01,69 35 09,44 30 21,69 33 28,44 26 57,69 37 20,44 24 44,69 38 27,44 22 15,69 40 29,44 18 49,69 43 12,44 17 60,69 44 11,
